ID,NAME,HEALTH,DAMAGE,RANGE,SPEED,LOS
0,aaccf,3,5,1,6,2
1,aalders,1,1,1,10,10
2,aaren,3,9,3,7,8
3,aarika,4,7,2,5,10
4,aaron,8,8,1,1,7
5,aartjan,6,10,3,3,2
6,aasen,4,1,3,6,7
7,ab,9,1,1,9,3
8,abacus,7,7,2,4,5
9,abagael,4,2,1,9,9
10,abagail,8,9,1,6,1
11,abahri,5,3,2,8,2
12,abasolo,10,9,1,5,3
13,abazari,3,2,1,8,7
14,abba,4,7,3,4,8
15,abbai,10,1,2,8,5
16,abbas,5,6,2,8,10
17,abbatant,10,5,1,5,7
18,abbate,6,3,1,4,3
19,abbe,5,1,3,3,10
20,abbey,10,7,1,2,2
21,abbi,3,4,1,4,4
22,abbot,6,4,3,7,8
23,abbott,5,1,3,6,9
24,abby,2,6,1,7,6
25,abbye,3,2,1,5,1
26,abdalla,5,7,3,7,9
27,abdallah,9,3,3,9,5
28,abdel,7,10,1,8,3
29,abdel-ma,2,3,2,10,1
30,abdel-ra,8,8,2,1,2
31,abdel-sa,2,5,3,10,4
32,abdelazi,1,10,2,6,3
33,abdelmad,4,10,3,8,2
34,abdelrah,2,5,1,2,7
35,abdelran,9,6,2,8,1
36,abdelsal,4,7,2,8,5
37,abderraz,9,4,3,4,8
38,abdi,9,8,1,2,4
39,abdo,3,5,3,4,5
40,abdolrah,7,3,3,4,9
41,abdou,2,7,3,2,6
42,abdrani,8,2,2,3,7
43,abdul,3,10,2,5,5
44,abdul-az,4,1,3,9,3
45,abdul-ma,10,8,1,5,1
46,abdul-no,9,4,2,3,2
47,abdul-ra,1,3,3,3,8
48,abdul-sa,2,9,1,1,5
49,abdulazi,9,3,1,10,6
50,abdulla,9,7,3,1,3
51,abdulmad,6,9,1,8,3
52,abdulrah,7,4,1,2,10
53,abdulran,3,4,2,8,1
54,abdulsal,3,10,2,5,9
55,abdur,3,3,1,10,1
56,abe,6,6,3,9,5
57,abel,2,7,1,9,5
58,abelard,4,10,3,9,2
59,abell,2,10,2,1,4
60,abella,2,10,1,4,2
61,abellera,9,1,2,6,7
62,abello,8,2,1,8,6
63,abelow,2,10,3,9,2
64,abernath,8,1,3,10,9
65,aberneth,9,10,2,6,3
66,abeu,8,8,3,2,3
67,abey,6,10,2,3,5
68,abhijit,8,10,2,3,1
69,abi-aad,7,1,3,3,9
70,abid,7,1,1,10,8
71,abie,3,7,2,6,7
72,abigael,6,10,2,4,6
73,abigail,8,6,2,3,10
74,abigale,5,7,2,4,10
75,abike,1,9,1,9,8
76,abner,5,10,1,4,1
77,abou-arr,5,10,1,1,5
78,abou-ezz,5,1,1,10,3
79,abovyan,1,8,3,3,9
80,abra,2,9,2,5,6
81,abraham,10,1,2,7,5
82,abrahan,2,7,1,2,10
83,abram,2,7,3,9,3
84,abramo,7,8,2,1,1
